20170101T15:30:38.702211000Z_2.132.234.249.s2c_ndttrace,0,0,a-->b,810,63,62,61,61,61,796,1,0,0
20170101T15:30:38.702211000Z_2.132.234.249.s2c_ndttrace,0,0,b-->a,420,2,2,0,0,0,0,0,1,1
20170101T15:37:47.756722000Z_85.150.178.10.s2c_ndttrace,0,0,a-->b,15853,2,2,0,0,0,0,0,1,1
20170101T15:37:47.756722000Z_85.150.178.10.s2c_ndttrace,0,0,b-->a,39216,185,280,183,183,183,39210,0,0,0
20170101T15:38:58.764264000Z_85.150.178.10.s2c_ndttrace,0,0,a-->b,19675,2,2,0,0,0,0,0,1,1
20170101T15:38:58.764264000Z_85.150.178.10.s2c_ndttrace,0,0,b-->a,39511,344,350,342,342,342,39505,0,0,0
20170101T15:44:34.979788000Z_93.123.251.151.s2c_ndttrace,0,0,a-->b,12490,176,44,174,174,174,12448,1,0,0
20170101T15:44:34.979788000Z_93.123.251.151.s2c_ndttrace,0,0,b-->a,4123,2,2,0,0,0,0,0,1,1
20170101T15:47:28.93551000Z_134.19.178.185.s2c_ndttrace,0,0,a-->b,927,35,46,33,33,33,917,1,0,0
20170101T15:47:28.93551000Z_134.19.178.185.s2c_ndttrace,0,0,b-->a,483,2,2,0,0,0,0,0,1,1
20170101T16:05:39.108685000Z_31.155.216.194.s2c_ndttrace,0,0,a-->b,2826,59,30,57,57,57,2794,1,0,0
20170101T16:05:39.108685000Z_31.155.216.194.s2c_ndttrace,0,0,b-->a,775,2,2,0,0,0,0,0,1,1
20170101T16:20:04.610316000Z_85.95.187.174.s2c_ndttrace,0,0,a-->b,419,23,7,22,22,22,408,0,0,0
20170101T16:20:04.610316000Z_85.95.187.174.s2c_ndttrace,0,0,b-->a,207,2,2,0,0,0,0,0,1,1
20170101T17:12:42.35513000Z_37.44.125.1.s2c_ndttrace,0,0,a-->b,609,151,32,149,149,149,604,1,0,0
20170101T17:12:42.35513000Z_37.44.125.1.s2c_ndttrace,0,0,b-->a,409,2,2,0,0,0,0,0,1,1
20170101T17:15:16.709180000Z_90.188.157.234.s2c_ndttrace,0,0,a-->b,2018,148,60,146,146,146,2014,1,0,0
20170101T17:15:16.709180000Z_90.188.157.234.s2c_ndttrace,0,0,b-->a,1076,2,2,0,0,0,0,0,1,1
20170101T17:15:18.508121000Z_146.255.183.44.s2c_ndttrace,0,0,a-->b,4778,784,166,782,782,782,4767,1,0,0
20170101T17:15:18.508121000Z_146.255.183.44.s2c_ndttrace,0,0,b-->a,2578,2,2,0,0,0,0,0,1,1
20170101T17:17:13.839082000Z_90.188.157.234.s2c_ndttrace,0,0,a-->b,2025,131,36,129,129,129,2003,1,0,0
20170101T17:17:13.839082000Z_90.188.157.234.s2c_ndttrace,0,0,b-->a,1057,2,2,0,0,0,0,0,1,1
20170101T17:51:53.982518000Z_62.133.162.170.s2c_ndttrace,0,0,a-->b,1200,48,38,46,46,46,1187,1,0,0
20170101T17:51:53.982518000Z_62.133.162.170.s2c_ndttrace,0,0,b-->a,618,2,2,0,0,0,0,0,1,1
20170101T17:53:23.960614000Z_95.140.86.35.s2c_ndttrace,0,0,a-->b,17573,280,146,278,278,278,17552,1,0,0
20170101T17:53:23.960614000Z_95.140.86.35.s2c_ndttrace,0,0,b-->a,5700,2,2,0,0,0,0,0,1,1
20170101T18:23:41.202654000Z_81.228.200.69.s2c_ndttrace,0,0,a-->b,81325,72,128,70,70,70,81295,0,0,0
20170101T18:23:41.202654000Z_81.228.200.69.s2c_ndttrace,0,0,b-->a,33541,2,2,0,0,0,0,0,1,1
20170101T19:10:34.511642000Z_37.44.81.219.s2c_ndttrace,0,0,a-->b,1830,21,40,19,19,19,1817,1,0,0
20170101T19:10:34.511642000Z_37.44.81.219.s2c_ndttrace,0,0,b-->a,967,2,2,0,0,0,0,0,1,1
20170101T19:34:28.343338000Z_178.44.87.249.s2c_ndttrace,0,0,a-->b,1864,142,30,140,140,140,1860,1,0,0
20170101T19:34:28.343338000Z_178.44.87.249.s2c_ndttrace,0,0,b-->a,853,2,2,0,0,0,0,0,1,1
